timestamp_lectura,segundo_en_ventana,BER,OSNR,PotenciaReceptor,PotenciaEntradaEDFA3,PotenciaSalidaEDFA3,PotenciaEntradaEDFA4,PotenciaSalidaEDFA4,scenario,ventana_idx
2025-12-17T16:01:37.423,0,5.244887e-03,24.20,-6.92,-24.17,2.88,-24.44,-1.68,normal,0
2025-12-17T16:01:38.491,1,5.151855e-03,25.90,-6.92,-24.17,2.88,-24.44,-1.68,normal,0
2025-12-17T16:01:39.560,2,5.624082e-03,24.20,-6.93,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:40.611,3,5.583645e-03,24.50,-6.92,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:41.710,4,,,,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:42.570,5,5.213546e-03,24.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:43.516,6,5.547097e-03,24.20,-6.92,-24.17,2.88,-24.44,-1.68,normal,0
2025-12-17T16:01:44.521,7,5.540730e-03,24.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:45.527,8,5.495914e-03,24.50,-6.92,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:46.581,9,5.526563e-03,24.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:47.617,10,5.541375e-03,24.80,-6.92,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:48.664,11,5.119271e-03,24.20,-6.92,-24.17,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:49.747,12,5.176610e-03,24.50,-6.92,-24.16,2.92,-24.44,-1.68,normal,0
2025-12-17T16:01:50.830,13,5.287389e-03,24.20,-6.92,-24.17,2.88,-24.44,-1.68,normal,0
2025-12-17T16:01:51.848,14,5.129164e-03,24.20,-6.92,-24.17,2.88,-24.44,-1.68,normal,0
2025-12-17T16:01:52.866,15,5.425527e-03,24.80,-6.92,-24.16,2.88,-24.44,-1.67,normal,0
2025-12-17T16:01:53.874,16,5.585547e-03,24.50,-6.92,-24.16,2.88,-24.44,-1.67,normal,0
2025-12-17T16:01:54.895,17,5.554775e-03,23.80,-6.92,-24.16,2.88,-24.44,-1.67,normal,0
2025-12-17T16:01:55.981,18,5.487304e-03,23.80,-6.92,-24.17,2.88,-24.44,-1.68,normal,0
2025-12-17T16:01:57.037,19,5.461038e-03,24.20,-6.92,-24.17,2.88,-24.44,-1.68,normal,0
2025-12-17T16:02:00.566,0,5.545244e-03,24.20,-6.92,-24.17,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:01.615,1,5.527104e-03,24.50,-6.92,-24.17,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:02.641,2,5.403996e-03,24.80,-6.92,-24.17,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:03.660,3,4.979043e-03,24.50,-6.92,-24.17,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:04.666,4,5.202584e-03,24.20,-6.92,-24.17,2.88,-24.44,-1.68,normal,1
2025-12-17T16:02:05.676,5,5.139335e-03,24.50,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:06.714,6,5.503473e-03,24.80,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:07.766,7,5.440465e-03,24.50,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:08.769,8,5.541642e-03,24.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:09.791,9,5.297936e-03,24.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:10.816,10,5.375648e-03,24.50,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:11.836,11,5.200617e-03,23.80,-6.92,-24.17,2.88,-24.44,-1.68,normal,1
2025-12-17T16:02:12.890,12,5.632401e-03,23.50,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:13.911,13,5.497145e-03,24.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:14.932,14,5.061539e-03,25.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:15.937,15,5.199583e-03,24.20,-6.92,-24.16,2.92,-24.44,-1.68,normal,1
2025-12-17T16:02:16.962,16,5.509743e-03,24.20,-6.92,-24.17,2.88,-24.45,-1.68,normal,1
2025-12-17T16:02:17.971,17,5.464303e-03,24.20,-6.92,-24.17,2.88,-24.45,-1.68,normal,1
2025-12-17T16:02:19.004,18,5.407497e-03,23.80,-6.92,-24.16,2.88,-24.44,-1.67,normal,1
2025-12-17T16:02:20.041,19,5.283608e-03,24.20,-6.92,-24.17,2.88,-24.44,-1.67,normal,1
