timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),Ganancia_Objetivo_EDFA3 (dB),Ganancia_Real_EDFA3 (dB),Ganancia_Objetivo_EDFA4 (dB),Ganancia_Real_EDFA4 (dB),Potencia_Entrada_EDFA3 (dBm),Potencia_Salida_EDFA3 (dBm),Potencia_Entrada_EDFA4 (dBm),Potencia_Salida_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-18T14:32:29.368275,N/A,N/A,N/A,25.4,23.7,19.8,21.82,-25.07,-1.37,-22.66,-0.84,Operación Normal,0,0
2025-12-18T14:32:30.399516,7.635369e-03,23.20,-2.52,25.4,23.7,19.8,21.82,-25.07,-1.37,-22.66,-0.84,Operación Normal,0,0
2025-12-18T14:32:31.404911,N/A,N/A,N/A,25.4,23.7,19.8,21.82,-25.07,-1.37,-22.66,-0.84,Operación Normal,0,0
2025-12-18T14:32:32.413213,5.461571e-03,23.80,-2.52,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:33.428496,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:34.476692,5.497612e-03,24.50,-2.53,25.4,23.7,19.8,21.82,-25.07,-1.37,-22.66,-0.84,Operación Normal,0,0
2025-12-18T14:32:35.494968,N/A,N/A,N/A,25.4,23.7,19.8,21.82,-25.07,-1.37,-22.66,-0.84,Operación Normal,0,0
2025-12-18T14:32:36.521222,4.945727e-03,24.20,-2.53,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:37.532516,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:38.548839,4.744510e-03,25.20,-2.52,25.4,23.69,19.8,21.83,-25.07,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:39.559136,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:40.567439,4.643820e-03,24.80,-2.53,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:41.589703,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:42.611968,5.037352e-03,25.90,-2.52,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:43.631241,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:44.649517,4.863770e-03,24.80,-2.52,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:45.759547,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:46.813726,4.900546e-03,25.20,-2.52,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:47.846985,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.08,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:48.866235,4.432489e-03,25.50,-2.52,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:49.882521,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:50.890823,4.675621e-03,25.20,-2.52,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:51.917082,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:52.930377,4.814671e-03,25.20,-2.52,25.4,23.69,19.8,21.83,-25.07,-1.38,-22.67,-0.84,Operación Normal,0,0
2025-12-18T14:32:53.962647,N/A,N/A,N/A,25.4,23.7,19.8,21.83,-25.07,-1.37,-22.67,-0.84,Operación Normal,0,0
