timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-19T15:59:07.062595,2.565072e-03,28.30,6.87,13.9,0.0,27.6,29.92,25.0,25.59,-25.41,4.51,-17.14,8.45,Operación Normal,0,0
2025-12-19T15:59:10.659970,2.673456e-03,27.40,6.86,13.9,0.0,27.6,29.94,25.0,25.58,-25.41,4.53,-17.11,8.47,Operación Normal,0,0
2025-12-19T15:59:14.235403,2.567000e-03,27.80,6.87,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:17.831781,2.653113e-03,27.80,6.76,13.9,0.0,27.6,29.92,25.0,25.49,-25.41,4.51,-17.14,8.35,Operación Normal,0,0
2025-12-19T15:59:21.400560,2.464385e-03,27.80,6.76,13.9,0.0,27.6,29.94,25.0,25.46,-25.41,4.53,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:25.028255,2.459001e-03,27.80,6.76,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:28.659540,2.656148e-03,27.40,6.76,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:32.276861,2.448072e-03,27.00,6.76,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:35.872243,2.629760e-03,27.80,6.76,13.9,0.0,27.6,29.95,25.0,25.49,-25.42,4.53,-17.14,8.35,Operación Normal,0,0
2025-12-19T15:59:39.464631,2.414013e-03,27.40,6.76,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:43.058016,2.453797e-03,27.80,6.76,13.9,0.0,27.6,29.94,25.0,25.46,-25.43,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:46.636441,2.461960e-03,27.80,6.76,13.9,0.0,27.6,29.95,25.0,25.46,-25.42,4.53,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:50.219855,2.595986e-03,27.00,6.76,13.9,0.0,27.6,29.94,25.0,25.46,-25.41,4.53,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:53.808252,2.575936e-03,27.40,6.76,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T15:59:57.394657,2.517865e-03,27.40,6.75,13.9,0.0,27.6,29.94,25.0,25.46,-25.41,4.53,-17.11,8.35,Operación Normal,0,0
2025-12-19T16:00:00.971087,2.512231e-03,27.40,6.75,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T16:00:04.532559,2.599091e-03,28.30,6.76,13.9,0.0,27.6,29.93,25.0,25.49,-25.42,4.51,-17.14,8.35,Operación Normal,0,0
2025-12-19T16:00:08.115971,2.639667e-03,28.70,6.76,13.9,0.0,27.6,29.94,25.0,25.46,-25.41,4.53,-17.11,8.35,Operación Normal,0,0
2025-12-19T16:00:11.699384,2.585530e-03,27.40,6.75,13.9,0.0,27.6,29.93,25.0,25.46,-25.42,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T16:00:15.276813,2.469733e-03,27.40,6.76,13.9,0.0,27.6,29.93,25.0,25.49,-25.42,4.51,-17.14,8.35,Operación Normal,0,0
2025-12-19T16:00:18.880170,2.487513e-03,27.40,6.76,13.9,0.0,27.6,29.95,25.0,25.49,-25.42,4.53,-17.14,8.35,Operación Normal,0,0
2025-12-19T16:00:22.476548,2.605240e-03,27.40,6.76,13.9,0.0,27.6,29.94,25.0,25.45,-25.43,4.51,-17.11,8.34,Operación Normal,0,0
2025-12-19T16:00:26.069935,2.516541e-03,27.40,6.75,13.9,0.0,27.6,29.94,25.0,25.46,-25.43,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T16:00:29.636393,2.564296e-03,27.80,6.76,13.9,0.0,27.6,29.94,25.0,25.48,-25.43,4.51,-17.14,8.34,Operación Normal,0,0
2025-12-19T16:00:33.229926,2.602458e-03,27.40,6.76,13.9,0.0,27.6,29.95,25.0,25.49,-25.42,4.53,-17.14,8.35,Operación Normal,0,0
2025-12-19T16:00:36.860065,2.640702e-03,27.00,6.75,13.9,0.0,27.6,29.94,25.0,25.46,-25.43,4.51,-17.11,8.35,Operación Normal,0,0
2025-12-19T16:00:40.432507,2.392140e-03,28.30,6.76,13.9,0.0,27.6,29.94,25.0,25.48,-25.41,4.53,-17.14,8.34,Operación Normal,0,0
