timestamp,BER,OSNR (dB),Potencia_Rx (dBm),G_Obj_E1 (dB),G_Real_E1 (dB),Pin_E1 (dBm),Pout_E1 (dBm),G_Obj_E2 (dB),G_Real_E2 (dB),Pin_E2 (dBm),Pout_E2 (dBm),G_Obj_E3 (dB),G_Real_E3 (dB),Pin_E3 (dBm),Pout_E3 (dBm),scenario,ventana_idx,Id_Falla
2025-12-18T15:36:32.409684,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.56,-24.75,4.81,24.5,24.83,-16.67,8.16,Operación Normal,0,0
2025-12-18T15:36:34.010423,2.232850e-03,27.80,6.55,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.8,-16.62,8.18,Operación Normal,0,0
2025-12-18T15:36:35.642057,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:38.146391,2.160455e-03,28.70,6.55,13.6,0.0,-40.0,-40.0,27.5,29.56,-24.75,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:39.769050,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.56,-24.75,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:41.384499,2.115121e-03,29.10,6.55,13.6,0.0,-40.0,-40.0,27.5,29.56,-24.75,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:42.981206,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.84,-16.67,8.17,Operación Normal,0,0
2025-12-18T15:36:44.601119,2.228404e-03,28.30,6.55,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:46.216808,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:47.818528,2.031642e-03,29.10,6.55,13.6,0.0,-40.0,-40.0,27.5,29.56,-24.75,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:49.426226,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:51.172560,2.253631e-03,28.30,6.55,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:52.818187,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:54.409966,2.255981e-03,29.10,6.56,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:56.002711,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:57.618393,2.071665e-03,27.80,6.55,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:36:59.206145,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:37:00.793897,2.256236e-03,27.80,6.55,13.6,0.0,-40.0,-40.0,27.5,29.56,-24.75,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:37:02.425531,N/A,N/A,N/A,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:37:04.043204,2.194445e-03,29.60,6.56,13.6,0.0,-40.0,-40.0,27.5,29.55,-24.74,4.81,24.5,24.85,-16.67,8.18,Operación Normal,0,0
2025-12-18T15:37:10.863255,N/A,N/A,N/A,5.95,0.0,-40.0,-40.0,27.8,29.92,-25.03,4.89,24.6,24.94,-16.57,8.37,Falla EDFA1,0,1
2025-12-18T15:37:12.486911,2.123882e-03,27.40,6.74,5.95,0.0,-40.0,-40.0,27.8,29.91,-25.02,4.89,24.6,24.92,-16.57,8.35,Falla EDFA1,0,1
2025-12-18T15:37:14.088625,N/A,N/A,N/A,5.95,0.0,-40.0,-40.0,27.8,29.91,-25.02,4.89,24.6,24.94,-16.57,8.37,Falla EDFA1,0,1
2025-12-18T15:37:15.697352,2.392201e-03,28.70,6.74,5.95,0.0,-40.0,-40.0,27.8,29.92,-25.03,4.89,24.6,24.94,-16.57,8.37,Falla EDFA1,0,1
2025-12-18T15:37:17.301061,N/A,N/A,N/A,5.95,0.0,-40.0,-40.0,27.8,29.92,-25.03,4.89,24.6,24.94,-16.57,8.37,Falla EDFA1,0,1
2025-12-18T15:37:18.942682,2.448775e-03,28.70,6.74,5.95,0.0,-40.0,-40.0,27.8,29.91,-25.02,4.89,24.6,24.94,-16.57,8.37,Falla EDFA1,0,1
2025-12-18T15:37:20.571353,N/A,N/A,N/A,5.95,0.0,-40.0,-40.0,27.8,29.91,-25.02,4.89,24.6,24.94,-16.57,8.37,Falla EDFA1,0,1
2025-12-18T15:37:22.181111,2.453195e-03,27.80,6.74,5.95,0.0,-40.0,-40.0,27.8,29.92,-25.03,4.89,24.6,24.94,-16.57,8.37,Falla EDFA1,0,1
