timestamp,BER,OSNR (dB),Potencia_Rx (dBm),G_Obj_E1 (dB),G_Real_E1 (dB),Pin_E1 (dBm),Pout_E1 (dBm),G_Obj_E2 (dB),G_Real_E2 (dB),Pin_E2 (dBm),Pout_E2 (dBm),G_Obj_E3 (dB),G_Real_E3 (dB),Pin_E3 (dBm),Pout_E3 (dBm),scenario,ventana_idx,Id_Falla
2025-12-18T15:43:27.678981,3.310002e-03,26.60,7.58,14.0,0.0,-40.0,-40.0,27.9,29.9,-24.69,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:29.323618,3.082712e-03,25.90,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:30.935312,3.266329e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:32.548011,3.267342e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:34.211565,3.046489e-03,27.40,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:35.841205,3.135798e-03,26.30,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:37.439927,3.498286e-03,27.40,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:39.080538,3.158183e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:40.725137,3.169231e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:42.335827,3.133531e-03,26.30,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:43.948551,3.168951e-03,26.60,7.58,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:45.604121,3.204819e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:47.371552,3.093081e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:49.000909,3.044905e-03,26.30,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:50.651208,3.166437e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:52.264905,3.118605e-03,27.80,7.58,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:53.900528,3.065108e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.87,-24.68,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:55.569437,3.215390e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:57.257467,3.178975e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:43:58.925362,3.218901e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:00.629881,3.245108e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.87,-24.68,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:02.312853,3.118314e-03,25.90,7.59,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:03.999177,3.245641e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.9,-24.69,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:05.659408,3.073205e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.9,-24.69,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:07.321836,3.301543e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.87,-24.68,5.19,25.0,25.42,-16.2,9.22,Operación Normal,0,0
2025-12-18T15:44:08.998500,3.223583e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:10.623342,3.159879e-03,27.40,7.58,14.0,0.0,-40.0,-40.0,27.9,29.9,-24.69,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:12.247003,3.238855e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:13.895629,3.313412e-03,27.80,7.59,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:15.508314,3.348336e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.9,-24.69,5.21,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:17.122994,3.056595e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.87,-24.68,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:18.805492,3.229405e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.87,-24.68,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:20.399256,3.297715e-03,27.00,7.58,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.42,-16.2,9.22,Operación Normal,0,0
2025-12-18T15:44:21.999945,3.241280e-03,25.90,7.58,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.36,-16.12,9.24,Operación Normal,0,0
2025-12-18T15:44:23.622609,3.214990e-03,26.60,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.36,-16.12,9.24,Operación Normal,0,0
2025-12-18T15:44:25.295165,3.220760e-03,27.00,7.59,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.37,-16.15,9.22,Operación Normal,0,0
2025-12-18T15:44:26.970683,3.082393e-03,27.00,7.58,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.42,-16.2,9.22,Operación Normal,0,0
2025-12-18T15:44:28.592343,3.134442e-03,27.00,7.58,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.42,-16.2,9.22,Operación Normal,0,0
2025-12-18T15:44:30.222012,3.379449e-03,27.80,7.58,14.0,0.0,-40.0,-40.0,27.9,29.88,-24.69,5.19,25.0,25.42,-16.2,9.22,Operación Normal,0,0
2025-12-18T15:44:31.831706,3.129463e-03,27.80,7.59,14.0,0.0,-40.0,-40.0,27.9,29.89,-24.68,5.21,25.0,25.42,-16.2,9.22,Operación Normal,0,0
2025-12-18T15:44:39.205031,2.876354e-03,27.80,7.31,13.7,0.0,-40.0,-40.0,27.8,29.79,-24.68,5.11,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:40.883578,2.687154e-03,27.00,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:43.057774,2.738881e-03,27.40,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:44.692483,2.787982e-03,27.80,7.31,13.7,0.0,-40.0,-40.0,27.8,29.82,-24.69,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:46.300213,2.862703e-03,27.00,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:47.940831,2.732939e-03,27.40,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:49.592412,2.655712e-03,27.00,7.31,13.7,0.0,-40.0,-40.0,27.8,29.8,-24.69,5.11,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:51.212111,2.843012e-03,27.00,7.32,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:52.849729,2.906280e-03,27.80,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:54.488397,2.817245e-03,27.40,7.31,13.7,0.0,-40.0,-40.0,27.8,29.8,-24.69,5.11,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:56.105114,2.911340e-03,27.40,7.31,13.7,0.0,-40.0,-40.0,27.8,29.79,-24.68,5.11,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:57.724781,2.751524e-03,28.30,7.31,13.7,0.0,-40.0,-40.0,27.8,29.82,-24.69,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:44:59.524964,2.873755e-03,27.80,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:01.113713,2.774421e-03,27.00,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:02.770310,2.846305e-03,27.80,7.31,13.7,0.0,-40.0,-40.0,27.8,29.79,-24.68,5.11,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:04.370094,2.789966e-03,27.40,7.31,13.7,0.0,-40.0,-40.0,27.8,29.79,-24.68,5.11,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:05.988763,2.870314e-03,27.00,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:07.603449,2.821684e-03,27.40,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:09.206160,2.960242e-03,28.30,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:10.801915,2.904649e-03,27.00,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.23,-16.27,8.96,Operación Normal,1,0
2025-12-18T15:45:12.430610,2.784945e-03,26.30,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.23,-16.27,8.96,Operación Normal,1,0
2025-12-18T15:45:14.054315,2.639112e-03,27.80,7.32,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:15.679016,2.897706e-03,28.30,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:17.296688,2.727824e-03,26.60,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:18.935304,2.865248e-03,27.40,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
2025-12-18T15:45:20.586885,2.918334e-03,27.00,7.31,13.7,0.0,-40.0,-40.0,27.8,29.81,-24.68,5.13,24.9,25.16,-16.2,8.96,Operación Normal,1,0
